age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
35-44,female,alevel,no_party,9500_17499,1,0,0,0,3,3,3,3,3,3,3,1,0.9845,-1.7368542675113936,0
15-24,female,gcse,no_party,17500_24999,3,1,1,0,3,3,3,3,3,3,2,1,1.10396,0.1349925272543115,0
35-44,male,degree,labour,25000plus,4,1,1,1,3,2,3,3,3,3,4,3,0.94975,0.6612552775959889,1
35-44,female,degree,labour,17500_24999,4,1,1,1,2,2,4,5,5,4,4,4,1.30465,0.6612552775959889,1
45-54,male,alevel,labour,25000plus,4,1,1,0,2,2,4,4,4,4,4,3,0.99932,0.1349925272543115,0
65plus,female,degree,labour,25000plus,4,1,1,0,2,2,5,5,5,5,3,5,0.78066,0.1349925272543115,0
25-34,female,degree,labour,25000plus,3,1,1,1,4,1,5,5,4,4,3,5,1.01425,0.6612552775959889,1
65plus,male,gcse,labour,9500_17499,1,1,1,0,1,1,1,2,4,5,4,1,0.42758,0.1349925272543115,0
55-64,male,gcse,labour,25000plus,4,1,1,0,2,4,3,4,4,1,4,4,0.61326,0.1349925272543115,0
65plus,female,degree,cons,9500_17499,3,1,1,0,2,2,3,3,4,3,3,4,1.15917,0.1349925272543115,0
35-44,male,degree,cons,25000plus,2,1,0,0,1,1,2,4,4,3,3,2,0.9095,-0.6248319183436151,0
35-44,male,degree,lib_dem,25000plus,3,1,1,0,4,4,3,4,4,4,3,4,1.22882,0.1349925272543115,0
55-64,male,degree,no_party,25000plus,2,1,1,0,1,1,4,4,4,4,3,3,1.45144,0.1349925272543115,0
65plus,male,gcse,no_party,9500_17499,3,1,1,0,3,3,4,4,3,4,3,3,0.49133,0.1349925272543115,0
65plus,female,alevel,no_party,25000plus,3,1,1,0,3,3,3,4,4,4,3,3,0.7904,0.1349925272543115,0
25-34,male,alevel,cons,25000plus,2,1,1,0,2,1,3,4,4,2,3,2,1.17216,0.1349925272543115,0
15-24,female,gcse,no_party,9500_17499,2,1,1,0,1,1,2,2,3,3,4,2,1.14597,0.1349925272543115,0
65plus,male,gcse,other,up_to_9499,3,1,1,0,4,2,4,5,4,4,5,4,0.71171,0.1349925272543115,0
45-54,female,no_qual,labour,25000plus,3,1,0,0,1,1,3,3,3,3,3,2,1.50909,-0.6248319183436151,0
45-54,female,alevel,other,25000plus,3,1,1,1,2,3,3,4,4,4,4,3,1.05439,0.6612552775959889,1
15-24,male,degree,cons,up_to_9499,2,1,1,1,1,1,3,3,3,3,3,3,0.88238,0.6612552775959889,1
65plus,female,gcse,other,up_to_9499,3,0,1,0,3,3,3,3,3,2,2,3,0.75339,-1.313071516124142,0
45-54,male,gcse,cons,up_to_9499,4,1,1,0,4,3,4,4,4,4,3,4,0.75471,0.1349925272543115,0
65plus,male,degree,lib_dem,25000plus,4,1,1,1,2,2,5,4,4,5,3,4,0.50371,0.6612552775959889,1
55-64,male,degree,no_party,25000plus,3,1,1,1,4,3,4,4,4,3,4,3,0.61326,0.6612552775959889,1
